Date,SP500,NASDAQ,VIX
2013-12-19,1809.5999755859375,4058.139892578125,14.149999618530273
2013-12-20,1818.3199462890625,4104.740234375,13.789999961853027
2013-12-23,1827.989990234375,4148.89990234375,13.039999961853027
2013-12-24,1833.3199462890625,4155.419921875,12.479999542236328
2013-12-26,1842.02001953125,4167.18017578125,12.329999923706055
2013-12-27,1841.4000244140625,4156.58984375,12.460000038146973
2013-12-30,1841.0699462890625,4154.2001953125,13.5600004196167
2013-12-31,1848.3599853515625,4176.58984375,13.720000267028809
2014-01-02,1831.97998046875,4143.06982421875,14.229999542236328
2014-01-03,1831.3699951171875,4131.91015625,13.760000228881836
2014-01-06,1826.77001953125,4113.68017578125,13.550000190734863
2014-01-07,1837.8800048828125,4153.18017578125,12.920000076293945
2014-01-08,1837.489990234375,4165.60986328125,12.869999885559082
2014-01-09,1838.1300048828125,4156.18994140625,12.890000343322754
2014-01-10,1842.3699951171875,4174.669921875,12.140000343322754
2014-01-13,1819.199951171875,4113.2998046875,13.279999732971191
2014-01-14,1838.8800048828125,4183.02001953125,12.279999732971191
2014-01-15,1848.3800048828125,4214.8798828125,12.279999732971191
2014-01-16,1845.8900146484375,4218.68994140625,12.529999732971191
2014-01-17,1838.699951171875,4197.580078125,12.4399995803833
2014-01-21,1843.800048828125,4225.759765625,12.869999885559082
2014-01-22,1844.8599853515625,4243.0,12.84000015258789
2014-01-23,1828.4599609375,4218.8798828125,13.770000457763672
2014-01-24,1790.2900390625,4128.169921875,18.139999389648438
2014-01-27,1781.56005859375,4083.610107421875,17.420000076293945
2014-01-28,1792.5,4097.9599609375,15.800000190734863
2014-01-29,1774.199951171875,4051.429931640625,17.350000381469727
2014-01-30,1794.18994140625,4123.1298828125,17.290000915527344
2014-01-31,1782.5899658203125,4103.8798828125,18.40999984741211
2014-02-03,1741.8900146484375,3996.9599609375,21.440000534057617
2014-02-04,1755.199951171875,4031.52001953125,19.110000610351562
2014-02-05,1751.6400146484375,4011.550048828125,19.950000762939453
2014-02-06,1773.4300537109375,4057.1201171875,17.229999542236328
2014-02-07,1797.02001953125,4125.85986328125,15.289999961853027
2014-02-10,1799.8399658203125,4148.169921875,15.260000228881836
2014-02-11,1819.75,4191.0498046875,14.510000228881836
2014-02-12,1819.260009765625,4201.2900390625,14.300000190734863
2014-02-13,1829.8299560546875,4240.669921875,14.140000343322754
2014-02-14,1838.6300048828125,4244.02001953125,13.569999694824219
2014-02-18,1840.760009765625,4272.77978515625,13.869999885559082
2014-02-19,1828.75,4237.9501953125,15.5
2014-02-20,1839.780029296875,4267.5498046875,14.789999961853027
2014-02-21,1836.25,4263.41015625,14.680000305175781
2014-02-24,1847.6099853515625,4292.97021484375,14.229999542236328
2014-02-25,1845.1199951171875,4287.58984375,13.670000076293945
2014-02-26,1845.1600341796875,4292.06005859375,14.350000381469727
2014-02-27,1854.2900390625,4318.93017578125,14.039999961853027
2014-02-28,1859.449951171875,4308.1201171875,14.0
2014-03-03,1845.72998046875,4277.2998046875,16.0
2014-03-04,1873.9100341796875,4351.97021484375,14.100000381469727
2014-03-05,1873.81005859375,4357.97021484375,13.890000343322754
2014-03-06,1877.030029296875,4352.1298828125,14.210000038146973
2014-03-07,1878.0400390625,4336.22021484375,14.109999656677246
2014-03-10,1877.1700439453125,4334.4501953125,14.199999809265137
2014-03-11,1867.6300048828125,4307.18994140625,14.800000190734863
2014-03-12,1868.199951171875,4323.330078125,14.470000267028809
2014-03-13,1846.3399658203125,4260.419921875,16.219999313354492
2014-03-14,1841.1300048828125,4245.39990234375,17.81999969482422
2014-03-17,1858.8299560546875,4279.9501953125,15.640000343322754
2014-03-18,1872.25,4333.31005859375,14.520000457763672
2014-03-19,1860.77001953125,4307.60009765625,15.119999885559082
